Last login: Sun Aug  5 00:47:17 on ttys000
Quinns-MacBook-Air:~ DrQ$ cd ~/Documents/sports
Quinns-MacBook-Air:sports DrQ$ python fb_play_scraper.py
TeboTi00 2011 passer 2
TeboTi00 2011 passer 3
TeboTi00 2011 passer 4
TeboTi00 2011 passer 6
TeboTi00 2011 passer 20
TeboTi00 2011 passer 21
CassMa00 2011 passer 6
CassMa00 2011 passer 11
CassMa00 2011 passer 12
CassMa00 2011 passer 13
CassMa00 2011 passer 14
CassMa00 2011 passer 15
CassMa00 2011 passer 16
CassMa00 2011 passer 17
CassMa00 2011 passer 18
CassMa00 2011 passer 19
CassMa00 2011 passer 20
CassMa00 2011 passer 21
KolbKe00 2011 passer 6
KolbKe00 2011 passer 9
KolbKe00 2011 passer 10
KolbKe00 2011 passer 11
KolbKe00 2011 passer 12
KolbKe00 2011 passer 15
KolbKe00 2011 passer 16
KolbKe00 2011 passer 17
KolbKe00 2011 passer 18
KolbKe00 2011 passer 19
KolbKe00 2011 passer 20
KolbKe00 2011 passer 21
OrtoKy00 2011 passer 6
OrtoKy00 2011 passer 7
OrtoKy00 2011 passer 8
OrtoKy00 2011 passer 9
